Date,Mean-Variance,Risk-Parity,Equal-Weight
2014-08-31,0.015902644627822093,0.00777644599428351,0.013742488258398744
2014-09-30,0.003257747603372163,0.0005447462224759114,0.001433965553507166
2014-10-31,0.014039452926092322,0.007163906796856301,0.010468543732471858
2014-11-30,0.019846343578845183,0.009575517758434904,0.010608978856817775
2014-12-31,0.01969690284767256,0.008722490622149248,0.007540016268655636
2015-01-31,0.04415998001938504,0.01967201153261411,0.021645229710288705
2015-02-28,0.036429290797655334,0.021372644482278602,0.025259320581801026
2015-03-31,0.03870171549454038,0.022536046556155487,0.02424891017534936
2015-04-30,0.03757711632865579,0.023373307358109496,0.024587260704038272
2015-05-31,0.036191036174694435,0.023244608948460144,0.023300613802263337
2015-06-30,0.029591343612185073,0.016728607678117458,0.011187902350560108
2015-07-31,0.027777891953932432,0.01583471350077792,0.011554152247705174
2015-08-31,0.023443431440869578,0.010613746554767767,0.003162233980200657
2015-09-30,0.025046568526282842,0.007061080685910381,-0.0031591644689559217
2015-10-31,0.04018314162693559,0.013223559717011613,0.00981519486546456
2015-11-30,0.035940845710711544,0.009091216096361876,-0.0001798115631097552
2015-12-31,0.026242135489569218,0.005094780655756415,-0.01010215323344077
2016-01-31,0.031937180667827025,0.009076054740669193,-0.012391228473251248
2016-02-29,0.03925264381608207,0.015198879473399707,-0.0025900643833688397
2016-03-31,0.04999908928287389,0.02531668330522341,0.015478316335968412
2016-04-30,0.0570407019050545,0.031005653547710565,0.02931852639832666
2016-05-31,0.05635246461622301,0.03142663471736529,0.030676367034499386
2016-06-30,0.0723671603176197,0.04512076714042701,0.04887211472599562
2016-07-31,0.07780473704360458,0.04974571211769052,0.0584291629200433
2016-08-31,0.07828403213510504,0.05044471575948428,0.06527733735722507
2016-09-30,0.08238226404175353,0.0523961326138751,0.06881231754636685
2016-10-31,0.07930514267284172,0.0498325023984989,0.06131612166308931
2016-11-30,0.07648435816760468,0.045841348170834406,0.04901165214325798
2016-12-31,0.09178975621304786,0.054774859959095146,0.05919783893989461
2017-01-31,0.09984368417167855,0.05933566439228599,0.06394915869006668
2017-02-28,0.1129776762502932,0.06653064659987384,0.07423901231176067
2017-03-31,0.11238969953425593,0.06691590324236318,0.07345196703940293
2017-04-30,0.12078591705456798,0.07230538432648137,0.08170173699975058
2017-05-31,0.129175197363393,0.07793914568193627,0.09041217261538659
2017-06-30,0.13030696750319826,0.07889336945754155,0.09204059358458849
2017-07-31,0.1391914263927072,0.08451389902303896,0.09894967911096897
2017-08-31,0.14288299825916706,0.08957431339777089,0.10319822300269887
2017-09-30,0.14261916691871668,0.08893524968232858,0.10419706396667205
2017-10-31,0.14388352661459525,0.09002453025824053,0.10556001733192089
2017-11-30,0.13989726811985181,0.08645011930970137,0.1024798918641514
2017-12-31,0.14840098211674313,0.08939711994082455,0.10790803932088178
2018-01-31,0.14100501679102528,0.0857909053113457,0.10295037697924037
2018-02-28,0.1325730338336939,0.08018708601315372,0.09238093736426056
2018-03-31,0.13384983332278066,0.08222582183683591,0.09533131867226041
2018-04-30,0.13582515546658525,0.0834816859418499,0.09216132709037628
2018-05-31,0.1374492239945777,0.08610340248123816,0.0957222913298077
2018-06-30,0.13956209871147052,0.08714449650151068,0.09597827295551609
2018-07-31,0.14870521022965044,0.09495955853523164,0.10552788530016532
2018-08-31,0.15499808986697383,0.10067155146798945,0.11083770233277734
2018-09-30,0.15818118472506626,0.1025234803891486,0.11153528253648548
2018-10-31,0.14690538356112648,0.09388925833888107,0.09778021193394748
2018-11-30,0.14603371065957504,0.095585550842467,0.09731517602878159
2018-12-31,0.14401107933310087,0.10385757658303785,0.0987688404272673
2019-01-31,0.16193686716798728,0.12674450717440866,0.13073225569755498
2019-02-28,0.16501539242090635,0.12972979107144433,0.13590847003532214
2019-03-31,0.18308884798581682,0.14725584378466716,0.15440684830720364
2019-04-30,0.18513950508405053,0.14924439125813715,0.15962419507132486
2019-05-31,0.19631274867621396,0.1596036642912364,0.16178788490889806
2019-06-30,0.21184349560419324,0.1747014065806245,0.18613366463851944
2019-07-31,0.21380155824851865,0.17657380752857876,0.1882635286429004
2019-08-31,0.23475137647082,0.19657535238595436,0.20876410897594688
2019-09-30,0.23311737149104306,0.1951850331708973,0.20774936970174251
2019-10-31,0.23657467847210478,0.19839164652019825,0.21040044234163524
2019-11-30,0.2378809162744695,0.1997803113330805,0.21324803401724068
2019-12-31,0.24580708620218972,0.20864728842047464,0.22381369696121878
2020-01-31,0.25714095888808575,0.21874587389285471,0.23555283505721647
2020-02-29,0.25865608990521394,0.21952084347174017,0.23813216961556072
2020-03-31,0.18688069940949292,0.1445181860871887,0.16253584913925123
2020-04-30,0.21657978331443384,0.1731572410960185,0.2044614836701253
2020-05-31,0.2317905249920631,0.18782507627320277,0.22798359762099185
2020-06-30,0.24050132183117467,0.19622496465503825,0.2362317108879759
2020-07-31,0.25991890734476253,0.21494949169517086,0.2717416099077692
2020-08-31,0.25479408730675424,0.21000758832033428,0.2663492042656421
2020-09-30,0.25230324077352106,0.20760564585260943,0.26099911064487835
2020-10-31,0.24958628721939347,0.20498566664577078,0.26051955702754137
2020-11-30,0.2663702873054934,0.22117060700530033,0.29100544741701606
2020-12-31,0.2778104727576769,0.2261737347549151,0.30206331302187794
2021-01-31,0.27465531157421696,0.2209736291197808,0.29373306352585504
2021-02-28,0.2730901595180748,0.21162720165752757,0.2842065261251543
2021-03-31,0.27904842177012235,0.20620022518560943,0.2832093815310275
2021-04-30,0.287408401088145,0.21304309742502436,0.2921723767429192
2021-05-31,0.29053453391383033,0.2163854786923567,0.2958511264173054
2021-06-30,0.29861870578121574,0.22238112775926355,0.3092504540413652
2021-07-31,0.30070681118762943,0.22789794549042397,0.31685500280675205
2021-08-31,0.3036849870416365,0.22975227328491754,0.3181821395878843
2021-09-30,0.30058761920474275,0.22654060939966758,0.3101190910016689
2021-10-31,0.29887888103587,0.22423254515806068,0.3095389813267868
2021-11-30,0.2888049923319438,0.21704434414770057,0.30334850979824846
2021-12-31,0.29384243504118346,0.22303770667948597,0.3128449049593731
2022-01-31,0.2645031576084993,0.2030357109137435,0.2842598140826873
2022-02-28,0.2561303147819951,0.19358882782309372,0.27102083172505065
2022-03-31,0.24296523666496572,0.17237787099214108,0.24726583735150776
2022-04-30,0.20210529737125849,0.14458355996560512,0.20094838292299788
2022-05-31,0.21686073555051344,0.15576414084001455,0.21553382082341588
2022-06-30,0.15151198032586533,0.12051607341903958,0.17019170704117248
2022-07-31,0.21067775849755654,0.14839953071279854,0.21700022912289496
2022-08-31,0.1713690704418671,0.12096821910550726,0.1783603689374802
2022-09-30,0.1366037559328237,0.08648679608727683,0.13586355470373124
2022-10-31,0.16461485593815572,0.08317851825837108,0.14469308927876767
2022-11-30,0.20197813537048126,0.11605032412464089,0.18765184490714293
2022-12-31,0.18610731046062257,0.10944321715304395,0.1746761192902031
2023-01-31,0.21656058903661268,0.13814351607686204,0.2136335249225627
2023-02-28,0.19977888745016026,0.11672044643151192,0.18698615656761564
2023-03-31,0.22120504703835953,0.13521554195981467,0.2139409047527212
2023-04-30,0.2265086451213787,0.14062467410753077,0.21950218186525627
2023-05-31,0.21699143740315452,0.13235129879477725,0.20627474120485423
2023-06-30,0.22817194034799604,0.13980369988874597,0.2154803317680818
2023-07-31,0.23797388700421895,0.14799540876939243,0.22229379623848589
2023-08-31,0.239612848040883,0.1491672849479071,0.2193514590578416
2023-09-30,0.22516439832093815,0.13827040200154794,0.19707138299762383
2023-10-31,0.217944754494376,0.13261765957298488,0.1833961377334179
2023-11-30,0.2599549073887246,0.16953482430215994,0.23769302446886664
2023-12-31,0.28985915681100094,0.19655164649302925,0.2770301674948594
